car_model,year_of_manufacture,price,fuel
Ritz,2014,5000.0,Petrol
Sx4,2013,7089.55,Diesel
Ciaz,2017,10820.9,Petrol
Wagon r,2011,4253.73,Petrol
Swift,2014,6865.67,Diesel
Vitara brezza,2018,13805.97,Diesel
Ciaz,2015,10074.63,Petrol
S cross,2015,9701.49,Diesel
Ciaz,2016,13059.7,Diesel
Ciaz,2015,11119.4,Diesel
Alto 800,2017,4253.73,Petrol
Ciaz,2015,10223.88,Diesel
Ciaz,2015,11194.03,Petrol
Ertiga,2015,9104.48,Petrol
Dzire,2009,3358.21,Petrol
Ertiga,2016,11567.16,Diesel
Ertiga,2015,10820.9,Diesel
Ertiga,2016,11567.16,Diesel
Wagon r,2015,4850.75,CNG
Sx4,2010,3955.22,Petrol
Alto k10,2016,4253.73,Petrol
Ignis,2017,7313.43,Petrol
Sx4,2011,6567.16,Petrol
Alto k10,2014,3731.34,Petrol
Wagon r,2013,4328.36,Petrol
Swift,2011,4477.61,Petrol
Swift,2013,6194.03,Petrol
Swift,2017,8955.22,Petrol
Alto k10,2010,2910.45,Petrol
Ciaz,2015,11119.4,Diesel
Ritz,2012,4626.87,Diesel
Ritz,2011,3507.46,Petrol
Swift,2014,7388.06,Diesel
Ertiga,2014,8955.22,Diesel
Dzire,2014,8208.96,Diesel
Sx4,2011,4402.99,CNG
Dzire,2015,6940.3,Petrol
800,2003,522.39,Petrol
Alto k10,2016,4477.61,Petrol
Sx4,2003,3358.21,Petrol
Baleno,2016,8731.34,Petrol
Alto k10,2014,3805.97,Petrol
Sx4,2008,2910.45,Petrol
Dzire,2014,8208.96,Diesel
Omni,2012,1865.67,Petrol
Ciaz,2014,11194.03,Petrol
Ritz,2013,3955.22,Petrol
Wagon r,2006,1567.16,Petrol
Ertiga,2015,8656.72,Petrol
Ciaz,2017,11567.16,Petrol
Fortuner,2012,22238.81,Diesel
Fortuner,2015,34328.36,Diesel
Innova,2017,26865.67,Diesel
Fortuner,2013,23880.6,Diesel
Innova,2005,4104.48,Petrol
Corolla altis,2009,5373.13,Petrol
Etios cross,2015,6716.42,Petrol
Corolla altis,2010,7089.55,Petrol
Etios g,2014,6119.4,Petrol
Fortuner,2014,29835.82,Diesel
Corolla altis,2013,10373.13,Petrol
Etios cross,2015,6716.42,Petrol
Fortuner,2014,27985.07,Diesel
Fortuner,2015,35074.63,Diesel
Fortuner,2017,49253.73,Diesel
Etios liva,2014,7089.55,Diesel
Innova,2017,29477.61,Petrol
Fortuner,2010,13805.97,Diesel
Corolla altis,2011,6492.54,Petrol
Corolla altis,2016,21268.66,Petrol
Etios liva,2014,5895.52,Diesel
Corolla altis,2011,6716.42,Diesel
Corolla altis,2013,11119.4,Petrol
Etios liva,2011,3955.22,Petrol
Etios cross,2014,7313.43,Diesel
Etios g,2015,5895.52,Petrol
Corolla altis,2013,8208.96,Petrol
Corolla,2004,2238.81,Petrol
Corolla altis,2010,7835.82,Petrol
Fortuner,2012,21641.79,Diesel
Corolla altis,2016,21985.07,Diesel
Etios gd,2015,7089.55,Diesel
Innova,2017,34328.36,Diesel
Innova,2015,18656.72,Diesel
Innova,2005,5208.96,Diesel
Camry,2006,3731.34,Petrol
Land cruiser,2010,52238.81,Diesel
Corolla altis,2012,8805.97,Petrol
Etios liva,2013,5149.25,Petrol
Etios g,2014,7089.55,Petrol
